TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;C202;25;1;0.1;37.5;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;356.2;356.2;0;0
F;C203;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;339;296.4;42.6;0.1257
F;C204;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;366.4;282.1;84.3;0.2301
F;C205;25;1;0.1;2.42;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;350.4;350.4;0;0
F;C206;25;1;0.1;3.5;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;349.3;349.3;0;0
F;C207;25;1;0.1;60.17;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;341.8;341.8;0;0
F;C208;25;1;0.1;152.02;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;314.4;314.4;0;0
F;R101;25;1;0.1;0.72;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;824.7;824.7;0;0
F;R102;25;1;0.1;28.89;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;706.2;706.2;0;0
F;R103;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;587.6;564.3;23.3;0.0397
F;R104;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;574.7;524.4;50.3;0.0875
F;R105;25;1;0.1;1.17;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;673.7;673.7;0;0
F;R106;25;1;0.1;99.66;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;597;597;0;0
F;R107;25;1;0.1;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;605.1;574.6;30.5;0.0504
F;R108;25;1;0.1;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;563.7;511;52.7;0.0935
F;R109;25;1;0.1;12.34;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;616.8;616.8;0;0
F;R110;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;593.7;541.9;51.8;0.0872
F;R111;25;1;0.1;246.75;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;573.1;573.1;0;0
F;R112;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;560;455.2;104.8;0.1871
